Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded,
32,"Yorkshire and Humber Regional Co-ordinator: Rosemary Denison DOH Public Health, Government Office for Yorkshire and the Humber, PO BOX 213, 5th Floor East, City House, New Station Street, Leeds, LS1 4US Telephone: 0113 2836607 E-mail: Rosemary.denison@dh.gsi.gov.uk Barnsley 5 A DAY project- Just Eat More (fruit & veg) The grant over two years will fund activities to increase fruit and vegetable consumption through cook and eat sessions for young mothers, male manual workers and low income groups, supermarket tours, ten food growing schemes run by community groups, and a subsidised juice bar in one senior school.",d,0,0,0,1,
33,Place the mushrooms on an oiled baking tray and cook in the oven for about 15 minutes or until the Cheddar has melted and the mushrooms are cooked and juicy.,d,0,0,0,1,
34,Add the chopped onion and cook until soft and transparent. 3.,d,0,0,0,1,
35,If the crop is potatoes it may well be worth lifting them early (although most books recommend October) the loss of weight of crop balanced against loss due to slug damage (and distress to the unlucky cook who cuts in half a potato with a slug in it.,u,0,0,1,0,
36,"Heat the griddle pan or barbecue until very hot, quickly score the quail on both sides, cook for about 5 minutes and then leave to rest. 3.",d,0,0,0,1,
37,"The lodge is fully equipped, linen and towels are provided and each weekly let includes the services of a cook and housekeeper, although the food is the responsibility of the tenants.",u,0,0,1,0,
38,"We were now working three hour watches and changing over cook at tea time with a glorious washing-up session; the new cook washed up that he started with everything clean, and did not stint his own cooking for fear of having to clean it all up.",m,0,1,0,0,
39,The vegetable boxes should suit everyone from the adventurous cook to those concerned with feeding their families a diverse and healthy diet.,u,0,0,1,0,
40,"Place on foil and lay bacon across the breast in overlapping strips - Seal completely in a loose-fitting ''parcel'' of foil with space to ensure air can circulate - Place on a low shelf and cook for 40 minutes, then reduce the temperature to 1700C, gas mark 3, and cook for a further 3 hours - Pull back the foil and remove the bacon, put on an oven-proof plate and return to the oven to crisp - Continue cooking for a further 40 minutes, basting with its juices every 5 minutes - Pierce the thickest part of the leg to check if cooked.",d,0,0,0,1,
41,"Once recovered and reasonably acclimatised we headed for the Quebrada Quilcayhuanca accompanied by a cook we''d met during the past week and a young lad claiming to be an arriero, with six laden donkeys.",u,0,0,1,0,
42,"How to make a basic omelette Ingredients: 2 large Lion Quality eggs, Pinch of salt and pepper, 1 tablespoon of cold water, 25g (1 ounce) butter Method - Gently beat the eggs together with salt, pepper and a tablespoon of cold water. - Melt the butter in a medium frying pan over a high heat. - When the fat is bubbling pour the egg mixture into the centre of the pan and cook over a high heat for 1-2 minutes. - As the egg begins to set, use a spatula to push the set egg towards the omelette centre. - Continue this action until the entire egg mixture is set. - Cook the set omelette for another minute, then loosen the edges with a spatula. - Tilt the pan and slide the omelette onto a warm plate and serve immediately.",d,0,0,0,1,
43,"This beautifully presented site contains plenty of information of interest to the medical herbalist, grower, cook, historian or academic.",u,0,0,1,0,
44,"Place the salmon, flesh side down, on the heated griddle pan and cook for 6 minutes, then gently turn over the fillets and cook, skin side down, for a further 6 minutes, until just cooked through.",d,0,0,0,1,
45,It came Francis Ralph''s turn with myself to assist the cook.,u,0,0,1,0,
46,"The hospital consisted of a single storey, white building, employing just two doctors, ten nurses, known as ''sisters'' throughout Australia, four porters, and a cook.",u,0,0,1,0,
47,"And we are treated to installments in the lives of a naïve human cook who has come to Port Nowhere to learn about alien cuisines, we follow the dealings of a space suit dealer and encounter several more folks along the way.",u,0,0,1,0,
48,"We wait, with a kind of sighing impatience, for war to be declared, or to blow finally off, living in the meanwhile in a kind of children''s hour of firelight and shadow and preposterous tales; the king seen at night galloping up our road upon unknown errands and covering his face as he passes our cook; Mataafa daily surrounded (when he awakes) with fresh ''white man''s boxes'' (query, ammunition?) and professing to be quite ignorant of where they come from; marches of bodies of men across the island; concealment of ditto in the bush; the coming on and off of different chiefs; and such a mass of ravelment and rag-tag as the devil himself could not unwind.",u,0,0,1,0,
49,""" The Golden Cross, Worcestershire steve beasley - 20 Mar 2005 - ""Excellent!!!!! good service, good crowd, just wish it stayed open later"" The Fountain Inn, West Midlands Emma hobday - 11 Feb 2005 - ""The chef is an excellent cook with a surporting and loving family"" Six Ashes, Shropshire Sian Greenaway - 28 Jan 2005 - ""Excellent Pub I recomend it to every one loverly owners know them myself Hello i dont know if you remember me!",u,0,0,1,0,
50,Add the landcress and cook for a further 5 minutes.,d,0,0,0,1,
51,"Bring to the boil and cook, stirring until thickened. 3.",d,0,0,0,1,
52,"Blackberry Jelly Ingredients 1 1b. apples, 3 1b. blackberries, 1⁄2 pint water, sugar (one cup for each cup of liquid) Method : Wash and cut apples roughly, wash berries, place fruit in a saucepan with water and cook till set, strain through butter muslin, allow one cup of sugar to each cup of liquid and boil quickly till it jells.",d,0,0,0,1,
53,Add tomatoes seasoning and sugar cook for 20 minutes.,d,0,0,0,1,
54,"Now my mom was always a gourmet cook so I had never seen anything like that in my life, still the site of that chills me to the bone just thinking about it.",f,1,0,0,0,
55,Place in a steamer and cook for for 20 minutes or until tender. 3.,d,0,0,0,1,
56,"Spoon a little mixture into each of the pastry cases and cook for about 10 minutes, until golden and set.",d,0,0,0,1,
57,"November 7 th 1832 A dreadful accident occurred at Mr Orbell''s water mill at Brundon near Sudbury, as the cook was stooping to fill a pitcher of water she lost her balance and fell between the water and the grate, one horrible shriek from the poor girl followed by immediate stopping of the mill alarmed the household who rushed out and found her mutilated body crushed to pieces by the ponderous wheel.",f,1,0,0,0,
58,"Grillpro Deluxe Digital Thermofork The Thermofork is the ""must have"" for the novice and expert barbecue cook - this handy little gadget will light up when your meat is rare, medium or well done.",u,0,0,1,0,
59,"Add remaining flour to the fat in the pan and cook for 1 minute, stir in puree, herbs, stock and tomato juice.",d,0,0,0,1,
60,'' CHORUS (In which the cook and the baby joined):– ''Wow! wow! wow!,u,0,0,1,0,
61,"Place the casserole dish in the centre of an oven and cook at for 11⁄2 hours, stiring occassionally.",d,0,0,0,1,
62,Gradually add the stock stirring all the time and cook until thickened. 5.,d,0,0,0,1,
63,"Gently toss the beef cubes in the flour and cook in the oil, a few at a time, until browned on all sides.",d,0,0,0,1,
64,Additional Services at extra cost Kim is an excellent cook and will by your request prepare a homemade meal for you on your arrival and will prepare meals throughout your stay at a very reasonable cost.,f,1,0,0,0,
65,"Meanwhile, boil plenty of water with a pinch of sea salt, add pappardelle and cook as instructed. 5.",d,0,0,0,1,
66,O''cook tofu.,d,0,0,0,1,
67,"These two houses evidently represented 13, and from a subsequent reference it is clear that the tenement on the N. side and over the doorway (13B) was occupied by James Ellis, cook.",m,0,1,0,0,
68,"Plate 43 In the cook house, breadfruit being roasted on hot rocks.",d,0,0,0,1,
69,The owner is a true gent and a great cook.,m,0,1,0,0,
70,"To fry, heat 1 tbsp olive oil in a pan, add the chopped shallot and cook for 5-10 minutes, stirring occasionally until tender.",d,0,0,0,1,
71,"He sees an African warrior driven from his tribe by jealous plots, and ending his life as a cook on a Zimbabwean farm, where he forms an ambivalent friendship with the Rhodesian farmer.",m,0,1,0,0,
72,"Trinny Woodall and Skye Gyngell Sir Cameron Mackintosh and his brother Peter Stringfellow and Roger Leadbitter Life as a rich man''s cook He has cooked for De Niro and Beyonc?but it was his ''ghetto oxtails'' that endeared Londoner Sean Shepherd to current boss, hip hop entrepreneur Damon Dash.",m,0,1,0,0,
73,I always got up at 5.30.a.m. just in case the cook group couldn''t get the fire going.,u,0,0,1,0,
74,"The perimeter of the kitchen is fenced off to prevent any unauthorized person from entering: Martha the cook has been renamed during the occupation and now is called Thatcher - for the steely nature in which she organizes the troops, and prepares the food.",f,1,0,0,0,
75,"River Cottage Cookbook by:Hugh Fearnley-Whittingstall, Simon Wheeler (Photographer) This is not just a cook book, it''s a tour through River Cottage, smallholding, self sufficiency and respect for the food you eat.",d,0,0,0,1,
76,He usually - another prize for who can tell what the cook does do with the soup.,u,0,0,1,0,
77,"Oliver collected 5:30: I ""cook"" for DE: cheese toasties and mozarella.",u,0,0,1,0,
78,"You''re a better cook that I knew, brother!",m,0,1,0,0,
79,"In spite of his impressive cooking references, Mike''s term as ship''s cook was short lived.",m,0,1,0,0,
80,First I gaed to sair the frempt: Lamachree and Megrum Is was through Auchtidour I skeempt: Owld Grey Megrum The owld good wife still smokes in the nook: Lamachree and Megrum And ordering at the throwder cook: Owld Grey Megrum,u,0,0,1,0,
81,"In each year group, children will at some time cook, sew and work with resistant materials.",d,0,0,0,1,
82,"Place the potatoes in a medium saucepan of salted water, bring to the boil then reduce the heat and cook for approx 15 minutes or until tender. 2.",d,0,0,0,1,
83,"Skim off any scum, season with salt, then cook for 20-25 minutes, until done. 3.",d,0,0,0,1,
84,"It also puts Willard on a Navy patrol boat with a crew of four men who serve as a microcosm of the American fighting force: the boat''s African American Chief (Albert Hall), a former taxi driver trying to keep his ship afloat and his young, drug-crazed charges in line; Chef, a New Orleans gourmet cook who joined the Navy because he thought they''d have better food than the Army (Frederic Forrest); Clean, a black teenager from the Bronx (played by 14-year-old Laurence Fishburne); and Lance, a California surfer cast adrift by the war (Sam Bottoms).",m,0,1,0,0,
85,"Meanwhile, in another saucepan, heat the remaining butter, add 1 tablespoon of the flour and cook over a medium heat for 2-3 minutes. 5.",d,0,0,0,1,
86,"They are going to raise food and cook, and they are going to share that food with people in this town who need it, and they are going to learn civics by helping protect the creek and the forest and the lake and the people of this place.",d,0,0,0,1,
87,After drama school she was a debutante before working as a cook.,f,1,0,0,0,
88,"'' I gave half of it to the hotel keeper, so that his cook should cut it up; and we got a damaged shell, and two splendid meals, beefsteak one day and soup the next.",u,0,0,1,0,
89,"""I''m a far better cook than she is, and the BBC don''t give me my own show!",u,0,0,1,0,
90,Add the flour and cook for 1 minute.,d,0,0,0,1,
91,Un patissier - une patissière (pastry cook or worker in a patisserie).,u,0,0,1,0,
92,"450g sweet potato 3 leeks, trimmed 60ml olive oil 4 eggs 125ml single cream or milk 125g mature cheddar cheese, grated 2tbsp chopped fresh parsley salt and pepper View Printer Friendly HTML Version PDF Version (requires Adobe Reader) Instructions 1 Peel the sweet potato and cut into chunks. cook in boiling salted water until tender, Drain. 2 Slice leeks, heat oil in large frying pan, add leeks and cook until softened.",d,0,0,0,1,
93,"buy apartments no money down villas for sale sardinia we sell houses california gifts to buy the home gourmet cook take virtual tours of homes for sale.com business chicago relocation colorado prudential realty elk grove california real estate upland california real estate las vegas real estate broker orlando florida houses real estate for rent home improvement magazine estate agents worcester clay county florida rent to own properties witchcraft spell to sell your house Dallas Homes For Sale, New Dallas Homes All of the Dallas home builders featured on our web site have been building new homes in Dallas for many years and each builder meets the State of Texas''s required licensing. http://dallas.americanhomeguides.com/ DFW New Home Rebate.",u,0,0,1,0,
94,"To steam, place the leaves in a steamer and cook for 5-7 minutes or until just tender.",d,0,0,0,1,
95,"And dreaming there by the Yukon bank, with lazy eyes blinking at the fire, these sounds and sights of another world would make the hair to rise along his back and stand on end across his shoulders and up his neck, till he whimpered low and suppressedly, or growled softly, and the half-breed cook shouted at him, ""Hey, you Buck, wake up!",u,0,0,1,0,
96,"""Yes, that Mrs Greasy''s a great cook!",f,1,0,0,0,
97,Stir in the chilli and cook over a low heat cook for 3 minutes.,d,0,0,0,1,
98,Stir in the tomato and cook for another 3 minutes.,d,0,0,0,1,
99,"Cover dish and cook at 150°C for 3 hours, leaving the lid off for the last hour to thicken the yummy sauce.",d,0,0,0,1,
100,"The Slow Method 1) Mount the blank and rough turn aiming for a fairly uniform thickness of 15mm or less. 2) Set to defrost (or 80°c) and ""cook"" for 10 minutes.",d,0,0,0,1,
101,"'' The cook fell prostrate, then turned over on his back.",m,0,1,0,0,
102,"Its great here really, summer all the time, it does make me feel good, sunshine, a warm breeze, beeping scooters and rickshaws, the little cook beavering away next door, the sweeper lady giving me a dirty look because I fetched my own drinking water.",u,0,0,1,0,
103,"The 1861 census shows the wife and three young daughters of James Saunders, a land surveyor, in residence here, looked after by a housemaid, nurse, cook, and underhousemaid, and with a page and a governess.",u,0,0,1,0,
104,"Add the onion, carrot and potato and cook for 15 minutes.",d,0,0,0,1,
105,"I was cook in the monastery there, and the food of the Church I used to sell for myself, so that I had at last much treasure of raiment and brazen vessels and gold-bound books and all that man desires.",u,0,0,1,0,
106,"In addition, Mary is a first class cook, and your on-board dinners will be long remembered.",f,1,0,0,0,
107,"For example: house, mouse die, cry cook, book wheat, sheet Example cards >> 39k Procedure Ask each group to place all of their cards face down on the table.",d,0,0,0,1,
108,It will equip you with all the skills and confidence you require to become a chalet cook.,u,0,0,1,0,
109,Pat Troughton and Devin Stanfield drop in and demonstrate the kirby wire fun of The Box of Delights ... Janet and Michael get into uniform and cook for the marines...,u,0,0,1,0,
110,"While both brothers boast superb pedigrees – Chris is ex-exec chef of The Wolseley & Orrery, while Jeff is former chief cook of L''Escargot – here they''ve toned down their formal, complex cooking styles in favour of simple bourgeois classics that are expertly sauced, seasoned, portioned & elegantly presented.",m,0,1,0,0,
111,"Meanwhile, melt 25g/1oz of the butter in a pan add the flour and cook for 1-2 minutes without browning.",d,0,0,0,1,
112,"Reduce raw foods such as salads, and cook with ginger, garlic and cumin to stimulate joint metabolism.",d,0,0,0,1,
113,Thankyou GFL. mistakes karen Posted 4:19pm Wed 11 Sep 2002 I am a through it all in cook can any of your chefs do a piece on what to do if you put too much salt or too much pepper or too much vinegar or chilli etc in their dishes to rescue them. cheese karen Posted 12:35pm Fri 13 Sep 2002 I have been given some organic stilton cheese.,u,0,0,1,0,
114,"Next cook the shallots and mushrooms in the same pan for 2-3 minutes, turning frequently.",d,0,0,0,1,
115,""" ""To cook food,"" Tim told them, ""Food, cook, hot, yummy.",d,0,0,0,1,
116,Heat a frying pan and when hot cook the beef and horseradish sausages until cooked through.,d,0,0,0,1,
117,"A keen cook, he is also an enthusiast of real ales and good wines.",m,0,1,0,0,
118,"Add the shallot to the pan, cook 2 minutes, then add the mushrooms and cook 2 - 3 minutes until tender.",d,0,0,0,1,
119,Return it to the boil and cook for 5 minutes.,d,0,0,0,1,
120,The sleeve notes are written by Norwich City Director and TV cook Delia Smith!,f,1,0,0,0,
121,"The next day I began dining at home, and found my cook very satisfactory; for, besides the usual English dishes, he was acquainted with the French system of cooking, and did fricandeaus, cutlets, ragouts, and above all, the excellent French soup, which is one of the principal glories of France.",m,0,1,0,0,
122,She is a keen cook and is constantly honing her confectionary-making skills.,f,1,0,0,0,
123,"I asked the cook if I could take his photograph, he seemed surprised that I should want to photograph him, then very chuffed when he realised that I really did.",m,0,1,0,0,
124,Add the pineapple and tomatoes and cook for a further 10 minutes.,d,0,0,0,1,
125,"INGREDIENTS dried chickpeas (250g) garlic (1 clove) shallots diced ground cumin fresh coriander olive oil low fat plain yogurt/light tahini wholemeal pitta bread shredded lettuce METHOD - soak chickpeas overnight in water - cook in unsalted water until soft (30-40 minutes), drain and allow to cool - put all ingredients into a food processor to form the mixture - shape into small balls using ice cream scoop, and add small amount of oil to non-stick frying pan - cook until golden brown on each side. - Serve with natural low fat yogurt or light tahini, and chopped salad in pitta bread Preparation time 20 minutes",d,0,0,0,1,
126,"Tyndall, who came to know the reality of what he was saying, told us: If the meat be over-roasted, we say the bishop has put his foot in the pot, or the bishop has played the cook, because bishops burn who they lust and whsoever displeases them.",u,0,0,1,0,
127,"We employ in-country as many staff as we can -- in Kenya for instance we employ 2 local managers, a project leader, a cook, 2 security guards, a cleaner and a driver, thereby doing as much as we can to provide local people with jobs, cutting down on unemployment and providing families with an income.",u,0,0,1,0,
128,"KITCHEN + o TALOLO, provost and chief cook. + o IOPU, second cook.",u,0,0,1,0,
129,"Pour in the crème fraîche and cook for a further five minutes, stirring all the time.",d,0,0,0,1,
130,"The cook broiled steaks, and the kitchen-maid toasted bread, and boiled eggs.",d,0,0,0,1,
131,"A nice, even cook.",d,0,0,0,1,
132,"Add the garlic, courgette and mushrooms and cook until the mushrooms are golden brown. 3.",d,0,0,0,1,
133,"Occupational asthma due to carrot in a cook . Moreno-Ancillo A, Gil-Adrados AC, Dominguez-Noche C, Cosmes PM, Pineda F.",u,0,0,1,0,
134,"Cover the dish with foil and cook in the oven for 25 minutes, then uncover, sprinkle with the Parmesan and cook for 5-10 minutes to brown lightly.",d,0,0,0,1,
135,"Arrange on a baking tray and cook in a preheated oven 200C, 400F, Gas 6 for 15 minutes.",d,0,0,0,1,
136,"Add the molasses, Worcestershire sauce, ginger, Tabasco sauce, lower the heat to medium and cook uncovered until the vegetables are thoroughly softened and the sauce is thick, 30 to 40 minutes.",d,0,0,0,1,
137,""" Some 16% of consumers would rather order a takeaway than cook a pizza themselves.",d,0,0,0,1,
138,END In this recipe the cook has to perform operations a total of 4 times.,u,0,0,1,0,
139,"Add rice to soften the onion, pour in 3/4 l broth and cook until half soft.",d,0,0,0,1,
140,Number 2 is a very good cook.,u,0,0,1,0,
141,"hi first post on here. have read everything post on steve and first and for most my thoughts and prays are with the cook family through this very difficult time. i am heading to malia 23rd june. i don''t know if you thought of this or are considering it, me and my girlfriend are going in june and we would be more than willing to get some t shirts printed with steve''s pic or the missing poster on in the hope it might jog someones memory. i think everyone who is going to malia this year should have a t shirt.",d,0,0,0,1,
142,"Let the cake cook in the oven for 15 minutes, then wedge the oven door open with a wooden spoon and let it cool for 30 minutes. 6.",d,0,0,0,1,
143,"Mddle Berne, Matron Rider and Miss Nalder all reappeared as did Karen, the cook who had been at the school since the Tirolean days.",f,1,0,0,0,
144,"Add the cornflour mixture to the saucepan containing the prune mixture and cook for a few minutes, stirring constantly, until thickened.",d,0,0,0,1,
145,"Spoon over the pineapple slices, place the ramekins on a baking tray and cook in the oven for 20 mins until well risen.",d,0,0,0,1,
146,Mrs.Parr was clearly able to continue to manage the Home and cook. 4.,f,1,0,0,0,
147,"And Lebanese recipes are also economical, which will please any cook trying to reconcile their post-Christmas household budget.",u,0,0,1,0,
148,"Thanks to your excellent cook who''s breakfasts really set me up for the day, and I did manage to keep them down every day!!.",u,0,0,1,0,
149,Something that will ideally suit every keen pastry cook whose storage space is too low - it''s a bag of shelf raising flour.,u,0,0,1,0,
150,"There is also someone who seems bent on harming Kisa, the cook has walked off, leaving Sparkle Stardust in charge of the kitchen, and a plague of toe biting vampires has struck.",u,0,0,1,0,
151,Add the tuna and cook until cooked through.,d,0,0,0,1,
152,"She always wondered jokingly (She was a cook) if perhaps her meals didn''t cause more discomfort than the enemy. full-name-and-address: Roger Paul Mills 99 Galway Rd Parkview, 2193 Gauteng, South Africa date-today: 23rd June 2001 address-for-email: greencbn@iafrica.com Date created: Sat Jun 23 07:27:30 2001 your-message: Hi everyone out there who knows me.",f,1,0,0,0,
153,Jean Hindry TOP decathlete Dean Macey threw his javelin and shot putt to one side and joined the country''s top school cook to launch National School Meals Week 2002 on the Isle of Dogs last week.,m,0,1,0,0,
154,"Anyone could sign up to do a shift or stay overnight or put on a film or cook food or bring free stuff or arrange an event, and anyone - turning up myself each time I went in to a new collection of faces, it felt like, everyone! - did.",d,0,0,0,1,
155,Add potatoes and cook until soft. 5.,d,0,0,0,1,
156,"Add the olives, capers and fresh herbs and cook everything together, adding a little of the pasta cooking water if necessary.",d,0,0,0,1,
157,The discovery of the cook made a great difference in the state of affairs.,u,0,0,1,0,
158,This Corporal who greeted us (I am ashamed I forget some names and he became a good friend) took us to the canteen for a meal specially cooked for us by the duty cook - such luxury after having to endure for the last 6 weeks the rubbish the catering school at Hereford dished up for us clerks!,u,0,0,1,0,
159,"COOK , S.",d,0,0,0,1,
160,"On Tuesdays, the cook prepared a hot buffet lunch for those students who attended the 1.10pm lunchtime Mass. The secret of this lunch has now filtered out, and between twenty and twenty-five students attend Mass and stay for lunch in the Narthex.",u,0,0,1,0,
161,"The present company, varied from year to year, is much reduced from the original number but to make up for this each actor must be multi-talented, able to act, dance, sing, play a musical instrument or three, cook, pilot a narrow boat, clear weed from propeller blades and empty toilets.",u,0,0,1,0,
162,"Stir in the coconut milk and tomatoes and cook uncovered for 20 minutes, stirring occasionally, until thickened.",d,0,0,0,1,
163,"You can purchase a set of three cook books - Favourite First Courses, Favourite Main Courses and Favourite Puddings.",d,0,0,0,1,
164,Return the sauce to the heat and cook for a further few minutes to thicken the sauce. 4.,d,0,0,0,1,
165,"Add the blended cornflour and cook, stirring, until thickened.",d,0,0,0,1,
166,""" ___(X)___ went, with her nose in the air ... A proud man is never left unruffled when worsted in a verbal duel with a cook, especially a cook aged fifteen with pigtails, and in ___(Y)___''s manner as he turned on his butler there was more than a suggestion of a rogue elephant at the height of its fever.",f,1,0,0,0,
167,What do you do when the only cook in the world gives notice?,u,0,0,1,0,
168,The only casualties were the cook of the merchant vessel who was scalded and my aldis lamp which lay shattered on the bridge.,u,0,0,1,0,
169,"Butter a 1kg loaf tin. â€¢ Heat the butter in a frying pan and gently cook the onions and celery in it for about five minutes. â€¢ Put the breadcrumbs in a bowl and spoon on the contents of the pan, leaving any excess butter. â€¢ Add the apples to the pan and cook for five minutes, stirring in the walnuts at the last minute.",d,0,0,0,1,
170,"Here the cargo was delivered and collected along with a special treat of a couple of bags of homebaked cookies from the station''s cook, which were very much appreciated: Thank You!",u,0,0,1,0,
171,"The variety of more than 90 clearly written recipes featured in this book, plus the wealth of advice provided, on choosing and using a grill and the right tools and on cooking techniques, will give even the most reticent cook the confidence and inspiration needed to create and enjoy great grilled food.",u,0,0,1,0,
172,Place in the middle of the oven and cook for about 30 minutes.,d,0,0,0,1,
173,"Set the mould in a bain marie and cook in a preheated oven. 180 deg C, 350deg F, gas mark 4, Aga - medium oven.",d,0,0,0,1,
174,"Penguin Books Ltd, £10.99 5 The Book of Jewish Food by Claudia Roden ""My step-grandfather had a cook called Fuzda who made a fantastic dish,"" says Clarissa.",u,0,0,1,0,
175,"MRS RUSSELL''S RECIPES Over 17,000 copies of Mrs Russell''s cook books have been sold already.",f,1,0,0,0,
176,"Although her husband sees this for himself, Mrs. Pocket complains of Sophia as a mischief-maker and defends the cook for having always been ""a nice respectful woman"" and for having supported Mrs. Pocket''s deluded idea of her own value by claiming she ""was born to be a Duchess"".",f,1,0,0,0,
177,"Mr McKenna will be ship±s cook on the epic voyage, while Mr Dale will be an engineer.",m,0,1,0,0,
178,"Bring to the boil, and reduce to a gentle simmer and cook for 2 hours.",d,0,0,0,1,
179,"Deeply grieved, I went away and laid myself down near the cook, who woke up and said I was a libertine.",u,0,0,1,0,
180,"Add the milk, bring to the boil then stir in the gouda and cook over a low heat until the cheese has melted.",d,0,0,0,1,
181,Add the required amount of Rizopia pasta and cook uncovered for about 7-10 minutes (We prefer our pasta firm so only boil for 7 minutes).,d,0,0,0,1,
182,It was from a Miss Irene Wilkins who was looking for a position as a school cook.,f,1,0,0,0,
183,"''Even the Hairs of your Head are all numbered'' would give a tremendous significance to one''s hairbrushes: the words about ''living water'' would reveal the music and sanctity of the sink: while ''Our God is a consuming Fire'' might be written over the kitchen-grate, to assist the mystic musings of the cook - Shall we ever try that experiment, dearest.",u,0,0,1,0,
184,"Bob nearly hits Joan, but Joyce does it instead when Joan tells her she wasn''t intending to come to her wedding to some ""schonky little cook"".",u,0,0,1,0,
185,When the oil is smoking hot drop the steaks into the pan and cook for 5 minutes on each side - for medium (4 minutes for rare and 6 minutes for well done).,d,0,0,0,1,
186,The aim of this book is to impart confidence to the cook to use a variety of grains in everyday cooking.,u,0,0,1,0,
187,"Hopefully the cook and her staff will use the prize-winning entry, at least in part.",f,1,0,0,0,
188,Reluctantly Frank agrees to let her cook dinner for him but nothing else.,f,1,0,0,0,
